               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.041477,            0.016786,           0.0023405,             0.84682,             0.87153,             0.87869,              0.5161,            0.032209,           0.0088603,           0.0013734,           0.0089065,           0.0089065,           0.0089065
                  36,            0.037741,             0.01382,           0.0031667,             0.84536,             0.84821,              0.9118,             0.56739,            0.029972,           0.0085166,            0.002431,           0.0088442,           0.0088442,           0.0088442
                  37,            0.036538,            0.015632,           0.0022145,             0.84815,             0.89132,             0.91984,             0.58666,            0.026711,           0.0085121,          0.00094629,           0.0087804,           0.0087804,           0.0087804
                  38,            0.035564,            0.014382,           0.0019766,             0.91103,             0.82445,             0.93338,             0.55073,            0.026894,           0.0083849,          0.00087933,           0.0087151,           0.0087151,           0.0087151
                  39,            0.035503,            0.013904,           0.0020995,               0.788,              0.8419,             0.88176,             0.54335,            0.028915,           0.0098855,           0.0018179,           0.0086485,           0.0086485,           0.0086485
                  40,            0.033936,            0.013461,           0.0016005,             0.81701,             0.91303,             0.92316,             0.60816,            0.025434,           0.0084843,           0.0011047,           0.0085805,           0.0085805,           0.0085805
                  41,            0.035379,            0.014353,           0.0014922,             0.88354,             0.88315,             0.93983,             0.61813,            0.025438,            0.008036,          0.00074899,           0.0085111,           0.0085111,           0.0085111
                  42,            0.032201,             0.01445,            0.001611,             0.80147,             0.92233,             0.91516,             0.60313,            0.023973,           0.0083351,           0.0014598,           0.0084404,           0.0084404,           0.0084404
                  43,            0.031451,            0.013463,           0.0016223,             0.85462,             0.88251,             0.92575,             0.58017,            0.025885,           0.0085568,           0.0011595,           0.0083684,           0.0083684,           0.0083684
                  44,            0.033011,            0.012951,           0.0016006,             0.87642,             0.90202,             0.93656,             0.59437,            0.027097,           0.0081624,           0.0010333,           0.0082952,           0.0082952,           0.0082952
                  45,            0.031362,            0.012745,            0.003669,             0.82364,              0.8885,             0.91159,             0.59724,            0.025938,           0.0092481,           0.0052156,           0.0082207,           0.0082207,           0.0082207
                  46,            0.030686,              0.0144,           0.0028982,             0.82169,             0.70229,             0.84749,             0.52323,            0.029638,            0.010572,            0.012182,            0.008145,            0.008145,            0.008145
                  47,            0.030048,            0.013683,           0.0030361,             0.81652,              0.7694,             0.83601,             0.53035,            0.027849,           0.0099765,            0.014239,           0.0080682,           0.0080682,           0.0080682
                  48,            0.029672,            0.014219,           0.0021379,             0.89353,             0.83997,             0.92227,             0.61452,            0.024059,            0.008881,          0.00063401,           0.0079903,           0.0079903,           0.0079903
                  49,            0.032025,            0.013565,           0.0019915,             0.86343,             0.90278,             0.93861,             0.61679,            0.024927,           0.0084356,          0.00068376,           0.0079112,           0.0079112,           0.0079112
                  50,            0.030453,            0.013678,           0.0022245,             0.83661,             0.87073,             0.92349,             0.61155,            0.024298,           0.0087217,            0.001512,           0.0078311,           0.0078311,           0.0078311
                  51,            0.030169,            0.013275,           0.0014422,             0.86533,             0.85264,             0.91662,             0.60588,            0.024619,           0.0083464,           0.0021577,             0.00775,             0.00775,             0.00775
                  52,            0.030815,            0.013125,            0.001913,             0.90411,             0.86311,             0.93123,             0.61766,            0.025145,           0.0085383,            0.001219,           0.0076679,           0.0076679,           0.0076679
                  53,            0.029931,            0.012639,           0.0029893,             0.91632,             0.86465,             0.93039,             0.62239,            0.024608,           0.0085723,          0.00069788,           0.0075848,           0.0075848,           0.0075848
                  54,            0.029714,             0.01312,           0.0031796,             0.82506,             0.89944,             0.92495,             0.58531,            0.027695,           0.0087799,          0.00084966,           0.0075009,           0.0075009,           0.0075009
                  55,            0.030655,            0.013937,           0.0026429,             0.88457,             0.85567,             0.93772,             0.61045,            0.024327,           0.0083971,           0.0019733,            0.007416,            0.007416,            0.007416
                  56,            0.028912,            0.013885,            0.002365,             0.84141,             0.90301,             0.92843,             0.62979,            0.023278,           0.0081764,            0.002351,           0.0073303,           0.0073303,           0.0073303
                  57,            0.027124,            0.013095,           0.0013983,             0.89799,              0.8613,               0.938,             0.63782,            0.023585,           0.0081471,          0.00050424,           0.0072438,           0.0072438,           0.0072438
